         11772 function calls (11651 primitive calls) in 14.384 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 C:\Python313\Lib\random.py:128(seed)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\contextlib.py:303(helper)
       10    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:1136(is_alive)
       11    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:281(__init__)
       47    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        5    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:367(_text_encoding)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:683(formatMessage)
        5    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:1105(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:343(expanduser)
       55    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot_ex}
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\tempfile.py:85(_infer_return_type)
      104    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        9    0.000    0.000    0.000    0.000 <frozen ntpath>:573(abspath)
      156    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       27    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      8/4    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_compiler.py:439(_get_literal_prefix)
       14    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_compiler.py:401(_simple)
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:1772(isEnabledFor)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:470(format)
       11    0.000    0.000    0.000    0.000 C:\Python313\Lib\_weakrefset.py:85(add)
       11    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:1020(_set_ident)
        5    0.000    0.000    0.000    0.000 c:\Users\Rome\Documents\Git Repo\1\SuperCut\utils.py:99(is_image_file)
       15    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:371(_escape)
       28    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
       43    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:175(append)
       67    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:239(__next)
       52    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:163(__len__)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x00000211AE6F3740}
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:463(_format)
       11    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:843(_newname)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\contextlib.py:145(__exit__)
       11    0.000    0.000    0.000    0.000 {built-in method msvcrt.open_osfhandle}
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\json\decoder.py:351(raw_decode)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\contextlib.py:108(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method _winapi.GetExitCodeProcess}
       11    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_compiler.py:214(_compile_charset)
       10    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:1162(daemon)
       18    0.000    0.000    0.000    0.000 C:\Python313\Lib\contextlib.py:552(_push_exit_callback)
       44    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:1826(_is_disabled)
        5    0.000    0.000    0.000    0.000 {built-in method _locale.getencoding}
       30    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:292(tell)
        9    0.000    0.000    0.000    0.000 {built-in method _winapi.LCMapStringEx}
       44    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\contextlib.py:136(__enter__)
        9    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
       50    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:255(match)
        6    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:85(opengroup)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:677(usesTime)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:403(expandvars)
        4    0.000    0.000    0.000    0.000 C:\Python313\Lib\random.py:245(_randbelow_with_getrandbits)
        5    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:1249(poll)
       12    0.000    0.000    0.000    0.000 C:\Python313\Lib\enum.py:1589(_get_value)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:1439(_filter_handle_list)
       48    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        6    0.000    0.000    0.000    0.000 <frozen os>:786(encodekey)
       11    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:1024(_set_native_id)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:1133(__del__)
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\tempfile.py:510(__enter__)
      2/1    0.051    0.025    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.000    0.000 C:\Python313\Lib\enum.py:695(__call__)
       10    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:315(_acquire_restore)
       11    0.000    0.000    0.000    0.000 <frozen ntpath>:34(_get_bothseps)
       18    0.000    0.000    0.000    0.000 C:\Python313\Lib\contextlib.py:479(_create_cb_wrapper)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:261(dirname)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\contextlib.py:485(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method setFormat}
       11    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:1267(_make_invoke_excepthook)
        7    0.000    0.000    0.000    0.000 {built-in method _winapi.GetStdHandle}
       16    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       20    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:1147(daemon)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\tempfile.py:446(cleanup)
        4    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       36    0.000    0.000    0.000    0.000 {built-in method _winapi.GetCurrentProcess}
       11    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:229(Detach)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:455(usesTime)
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\encodings\cp1252.py:18(encode)
       20    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:82(groups)
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\tempfile.py:483(__init__)
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_compiler.py:410(_generate_overlap_table)
        2    0.000    0.000    0.000    0.000 <frozen os>:1127(__subclasshook__)
        4    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:230(__init__)
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:167(<lambda>)
       40    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:605(is_set)
       10    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:312(_release_save)
        9    0.000    0.000    0.000    0.000 {built-in method nt._path_normpath}
       32    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
       10    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       17    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       11    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       24    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:112(__init__)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:199(__init__)
       15    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:1255(_remaining_time)
       14    0.000    0.000    0.000    0.000 {built-in method sys.audit}
        4    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       26    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       18    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
       32    0.000    0.000    0.000    0.000 {built-in method math.floor}
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:391(getMessage)
        1    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:1373(__init__)
        5    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        1    0.000    0.000    0.000    0.000 C:\Python313\Lib\random.py:345(choice)
       14    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:108(_check_methods)
        8    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_compiler.py:573(isstring)
       10    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:129(getLevelName)
       14    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:171(__setitem__)
        9    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        4    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:954(fix_flags)
       11    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       10    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
        6    0.000    0.000    0.000    0.000 <frozen os>:780(check_str)
        9    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:840(filter)
       11    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
        7    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\tempfile.py:229(_get_candidate_names)
       12    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:1327(_on_error_fd_closer)
       10    0.000    0.000    0.000    0.000 {method 'is_done' of '_thread._ThreadHandle' objects}
        4    0.000    0.000    0.000    0.000 C:\Python313\Lib\enum.py:1156(__new__)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:815(__contains__)
       12    0.000    0.000    0.000    0.000 {built-in method _thread.daemon_threads_allowed}
        4    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFE25F868A0}
        3    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\tempfile.py:471(__del__)
       11    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        9    0.000    0.000    0.000    0.000 <frozen codecs>:263(__init__)
       11    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 {built-in method setMaximum}
        3    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
        6    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method time.time_ns}
        5    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:487(__init__)
       11    0.000    0.000    0.000    0.000 C:\Python313\Lib\subprocess.py:1579(_internal_poll)
